time (s),getData(":pwr" ?result "tran") (W)
18.30E-9,2.100E-3
18.30E-9,1.912E-3
18.31E-9,1.716E-3
18.32E-9,1.527E-3
18.32E-9,1.359E-3
18.33E-9,1.209E-3
18.34E-9,1.086E-3
18.34E-9,1.002E-3
18.35E-9,946.4E-6
18.36E-9,898.3E-6
18.36E-9,858.0E-6
18.37E-9,861.6E-6
18.37E-9,927.8E-6
18.38E-9,996.6E-6
18.39E-9,1.044E-3
18.39E-9,1.050E-3
18.40E-9,1.029E-3
18.40E-9,1.001E-3
18.40E-9,968.6E-6
18.41E-9,933.7E-6
18.41E-9,892.0E-6
18.42E-9,852.3E-6
18.42E-9,806.9E-6
18.43E-9,765.9E-6
18.43E-9,734.2E-6
18.44E-9,705.3E-6
18.45E-9,684.7E-6
18.45E-9,665.2E-6
18.46E-9,653.5E-6
18.46E-9,654.4E-6
18.47E-9,671.5E-6
18.47E-9,710.3E-6
18.48E-9,763.7E-6
18.49E-9,824.0E-6
18.50E-9,871.0E-6
18.50E-9,888.5E-6
18.51E-9,913.5E-6
18.52E-9,1.016E-3
18.52E-9,1.180E-3
18.53E-9,1.336E-3
18.53E-9,1.439E-3
18.54E-9,1.479E-3
18.54E-9,1.504E-3
18.55E-9,1.550E-3
18.55E-9,1.618E-3
18.56E-9,1.711E-3
18.57E-9,1.762E-3
18.57E-9,1.758E-3
18.58E-9,1.706E-3
18.58E-9,1.625E-3
18.59E-9,1.505E-3
18.59E-9,1.384E-3
18.60E-9,1.256E-3
18.60E-9,1.116E-3
18.61E-9,947.5E-6
18.62E-9,808.3E-6
18.63E-9,714.3E-6
18.64E-9,642.2E-6
18.64E-9,613.3E-6
18.64E-9,586.6E-6
18.65E-9,567.1E-6
18.65E-9,549.9E-6
18.66E-9,536.3E-6
18.66E-9,522.9E-6
18.67E-9,511.6E-6
18.68E-9,508.1E-6
18.69E-9,508.4E-6
18.71E-9,514.1E-6
18.72E-9,519.7E-6
18.73E-9,527.1E-6
18.75E-9,539.8E-6
18.76E-9,573.7E-6
18.78E-9,630.0E-6
18.79E-9,704.7E-6
18.80E-9,743.4E-6
18.81E-9,754.6E-6
18.82E-9,745.3E-6
18.83E-9,721.5E-6
18.83E-9,689.9E-6
18.84E-9,655.5E-6
18.85E-9,614.9E-6
18.85E-9,589.8E-6
18.86E-9,563.5E-6
18.87E-9,539.6E-6
18.87E-9,518.0E-6
18.88E-9,490.3E-6
18.89E-9,474.7E-6
18.89E-9,465.5E-6
18.90E-9,458.1E-6
18.90E-9,445.4E-6
18.91E-9,438.6E-6
18.91E-9,433.1E-6
18.91E-9,429.3E-6
18.92E-9,424.8E-6
18.92E-9,421.2E-6
18.93E-9,417.0E-6
18.93E-9,414.6E-6
18.94E-9,419.8E-6
18.95E-9,427.0E-6
18.97E-9,429.1E-6
18.98E-9,427.4E-6
18.99E-9,428.4E-6
19.00E-9,450.9E-6
19.01E-9,494.8E-6
19.02E-9,522.8E-6
19.03E-9,531.5E-6
19.04E-9,624.4E-6
19.05E-9,740.5E-6
19.05E-9,807.8E-6
19.06E-9,814.7E-6
19.07E-9,791.2E-6
19.07E-9,735.2E-6
19.08E-9,687.2E-6
19.09E-9,630.6E-6
19.09E-9,568.7E-6
19.11E-9,489.2E-6
19.12E-9,423.7E-6
19.14E-9,384.9E-6
19.16E-9,372.1E-6
19.18E-9,368.1E-6
19.20E-9,366.8E-6
19.22E-9,366.3E-6
19.25E-9,366.2E-6
19.28E-9,366.1E-6
19.33E-9,366.0E-6
19.38E-9,365.9E-6
19.47E-9,365.8E-6
19.61E-9,365.7E-6
19.84E-9,365.6E-6
20.00E-9,365.6E-6
20.32E-9,365.6E-6
20.93E-9,365.5E-6
21.44E-9,365.5E-6
22.00E-9,365.4E-6
22.00E-9,379.9E-6
22.01E-9,402.1E-6
22.01E-9,406.3E-6
22.02E-9,481.8E-6
22.02E-9,642.9E-6
22.03E-9,883.0E-6
22.03E-9,1.079E-3
22.03E-9,1.207E-3
22.04E-9,1.321E-3
22.04E-9,1.386E-3
22.04E-9,1.425E-3
22.04E-9,1.448E-3
22.05E-9,1.460E-3
22.05E-9,1.456E-3
22.05E-9,1.442E-3
22.05E-9,1.401E-3
22.05E-9,1.351E-3
22.05E-9,1.305E-3
22.06E-9,1.236E-3
22.06E-9,1.172E-3
22.06E-9,1.110E-3
22.06E-9,1.075E-3
22.06E-9,1.047E-3
22.06E-9,1.018E-3
22.07E-9,997.1E-6
22.07E-9,974.1E-6
22.07E-9,947.4E-6
22.07E-9,922.5E-6
22.08E-9,901.2E-6
22.08E-9,879.5E-6
22.09E-9,857.9E-6
22.09E-9,842.9E-6
22.10E-9,845.7E-6
22.10E-9,852.5E-6
22.10E-9,862.1E-6
22.11E-9,876.9E-6
22.11E-9,896.1E-6
22.11E-9,916.3E-6
22.12E-9,932.8E-6
22.12E-9,945.5E-6
22.12E-9,950.9E-6
22.13E-9,952.5E-6
